Codigo,Categoria,Subcategoria,Articulo / Descripcion,Medida,Unidad de Venta,Cantidad por Caja/Paq,Precio Estimado (ARS),Precio (USD),Pagina del Catalogo
102317,PROTECCION DE LLUVIA,BOTAS,45 - Par - 4,,,,16400,11.55,12
102318,PROTECCION DE LLUVIA,BOTAS,46 - Par - 4,,,,17000,11.97,12
102319,PROTECCION DE LLUVIA,BOTAS,47 - Par - 4,,,,20700,14.58,12
102320,PROTECCION DE LLUVIA,BOTAS,38 - Par - 4,,,,18800,13.24,12
102321,PROTECCION DE LLUVIA,BOTAS,39 - Par - 4,,,,17700,12.46,12
102322,PROTECCION DE LLUVIA,BOTAS,40 - Par - 4,,,,18100,12.75,12
102323,PROTECCION DE LLUVIA,BOTAS,41 - Par - 4,,,,16000,11.27,12
102324,PROTECCION DE LLUVIA,BOTAS,42 - Par - 4,,,,16500,11.62,12
102325,PROTECCION DE LLUVIA,BOTAS,43 - Par - 4,,,,17100,12.04,12
102326,PROTECCION DE LLUVIA,BOTAS,44 - Par - 4,,,,18500,13.03,12
102327,PROTECCION DE LLUVIA,BOTAS,45 - Par - 4,,,,16500,11.62,12
102328,PROTECCION DE LLUVIA,BOTAS,46 - Par - 4,,,,16500,11.62,12
102329,PROTECCION DE LLUVIA,BOTAS,47 - Par - 4,,,,15700,11.06,12
102350,PROTECCION DE LLUVIA,ZAPATOS y BOTINES CON PUNTERA,38 - Par - 4,,,,18700,13.17,12
102351,PROTECCION DE LLUVIA,ZAPATOS y BOTINES CON PUNTERA,39 - Par - 4,,,,16500,11.62,12
102352,PROTECCION DE LLUVIA,ZAPATOS y BOTINES CON PUNTERA,40 - Par - 4,,,,20200,14.23,12
102353,PROTECCION DE LLUVIA,ZAPATOS y BOTINES CON PUNTERA,41 - Par - 4,,,,19900,14.01,12
102354,PROTECCION DE LLUVIA,ZAPATOS y BOTINES CON PUNTERA,42 - Par - 4,,,,15700,11.06,12
102355,PROTECCION DE LLUVIA,ZAPATOS y BOTINES CON PUNTERA,43 - Par - 4,,,,16600,11.69,12
102356,PROTECCION DE LLUVIA,ZAPATOS y BOTINES CON PUNTERA,44 - Par - 4,,,,18900,13.31,12
102357,PROTECCION DE LLUVIA,ZAPATOS y BOTINES CON PUNTERA,45 - Par - 4,,,,16500,11.62,12
102390,PROTECCION DE LLUVIA,ZAPATOS y BOTINES CON PUNTERA,38 - Par - 4,,,,16000,11.27,12
102391,PROTECCION DE LLUVIA,ZAPATOS y BOTINES CON PUNTERA,39 - Par - 4,,,,20400,14.37,12
102392,PROTECCION DE LLUVIA,ZAPATOS y BOTINES CON PUNTERA,40 - Par - 4,,,,18400,12.96,12
102393,PROTECCION DE LLUVIA,ZAPATOS y BOTINES CON PUNTERA,41 - Par - 4,,,,17900,12.61,12
102394,PROTECCION DE LLUVIA,ZAPATOS y BOTINES CON PUNTERA,42 - Par - 4,,,,19500,13.73,12
102395,PROTECCION DE LLUVIA,ZAPATOS y BOTINES CON PUNTERA,43 - Par - 4,,,,19700,13.87,12
102396,PROTECCION DE LLUVIA,ZAPATOS y BOTINES CON PUNTERA,44 - Par - 4,,,,16300,11.48,12
102397,PROTECCION DE LLUVIA,ZAPATOS y BOTINES CON PUNTERA,45 - Par - 4,,,,15800,11.13,12
102400,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,38,,c/u,4,17600,12.39,12
102401,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,40,,c/u,4,17600,12.39,12
102402,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,42,,c/u,4,17800,12.54,12
102403,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,44,,c/u,4,19200,13.52,12
102404,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,46,,c/u,4,18900,13.31,12
102405,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,48,,c/u,4,20600,14.51,12
102406,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,50,,c/u,4,15800,11.13,12
102407,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,52,,c/u,4,17500,12.32,12
102408,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,54,,c/u,4,17100,12.04,12
102409,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,56 o +,,c/u,4,20000,14.08,12
102424,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,38,,c/u,4,16600,11.69,12
102425,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,40,,c/u,4,16300,11.48,12
102426,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,42,,c/u,4,17700,12.46,12
102427,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,44,,c/u,4,17600,12.39,12
102428,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,46,,c/u,4,16800,11.83,12
102429,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,48,,c/u,4,16600,11.69,12
102430,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,50,,c/u,4,20300,14.30,12
102431,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,52,,c/u,4,17700,12.46,12
102432,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,54,,c/u,4,20000,14.08,12
102433,PROTECCION DE LLUVIA,CAMISAS y PANTALONES,56 o +,,c/u,4,18300,12.89,12
103030,PALAS ESTAMPADA CABO CORTO,MARTILLO GALPONERO,Martillo Galponero N°27 - Cabo Madera - Importado,,c/u,6,15600,10.99,49
104000,MAQUINA DE PVC PARA SALPICAR,Torniquete Tipo Golondrina Para Alambrar,Torniquete Pintado Mini N°6 Para Antena TV,,c/u,25,40200,28.31,40
104001,MAQUINA DE PVC PARA SALPICAR,Torniquete Tipo Golondrina Para Alambrar,Torniquete Pintado Liviano N°7,,c/u,25,38500,27.11,40
104002,MAQUINA DE PVC PARA SALPICAR,Torniquete Tipo Golondrina Para Alambrar,Torniquete Pintado Reforzado N°8,,c/u,25,39900,28.10,40
104003,MAQUINA DE PVC PARA SALPICAR,Torniquete Tipo Golondrina Para Alambrar,Torniquete Pintado Doble al Poste N°9,,c/u,12,39500,27.82,40
104004,MAQUINA DE PVC PARA SALPICAR,Torniquete Tipo Golondrina Para Alambrar,Torniquete Pintado Micro,,c/u,25,38700,27.25,40
107001,TEJIDOS MEDIA SOMBRA,POLIETILENOS,Agropol Negro 3 x 100 Metros - 100 Micrones,Agropol Negro 3 x 100 Metros - 100 Micrones,Rollo,,63900,45.00,89
107002,TEJIDOS MEDIA SOMBRA,POLIETILENOS,Agropol Negro 4 x 50 Metros - 100 Micrones,Agropol Negro 4 x 50 Metros - 100 Micrones,Rollo,,67300,47.39,89
107003,TEJIDOS MEDIA SOMBRA,POLIETILENOS,Agropol Negro 3 x 50 Metros - 200 Micrones,Agropol Negro 3 x 50 Metros - 200 Micrones,Rollo,,64400,45.35,89
107004,TEJIDOS MEDIA SOMBRA,POLIETILENOS,Agropol Negro 4 x 50 Metros - 200 Micrones,Agropol Negro 4 x 50 Metros - 200 Micrones,Rollo,,66400,46.76,89
107005,TEJIDOS MEDIA SOMBRA,POLIETILENOS,Plástico Cristal 3 x 100 Metros - 100 Micrones,Plástico Cristal 3 x 100 Metros - 100 Micrones,Rollo,,62700,44.15,89
107006,TEJIDOS MEDIA SOMBRA,POLIETILENOS,Plástico Cristal 4 x 50 Metros - 100 Micrones,Plástico Cristal 4 x 50 Metros - 100 Micrones,Rollo,,66200,46.62,89
107007,TEJIDOS MEDIA SOMBRA,POLIETILENOS,Plástico Cristal 3 x 50 Metros - 200 Micrones,Plástico Cristal 3 x 50 Metros - 200 Micrones,Rollo,,72700,51.20,89
108001,REMACHES DE ALUMINIO,,"3,5 x 6",,,,75,0.05,121
108002,REMACHES DE ALUMINIO,,"3,5 x 8",,,,85,0.06,121
108003,REMACHES DE ALUMINIO,,"3,5 x 10",,,,80,0.06,121
108004,REMACHES DE ALUMINIO,,"3,5 x 12",,,,80,0.06,121
108005,REMACHES DE ALUMINIO,,"3,5 x 14",,,,90,0.06,121
108006,REMACHES DE ALUMINIO,,"3,5 x 16",,,,90,0.06,121
108007,REMACHES DE ALUMINIO,,"3,5 x 19",,,,80,0.06,121
108008,REMACHES DE ALUMINIO,,"3,5 x 25",,,,85,0.06,121
108009,REMACHES DE ALUMINIO,,"3,5 x 30 - Caja x 500 Unidades",,,,70,0.05,121
108010,REMACHES DE ALUMINIO,,4 x 6,,,,75,0.05,121
108011,REMACHES DE ALUMINIO,,4 x 8,,,,90,0.06,121
108012,REMACHES DE ALUMINIO,,4 x 10,,,,80,0.06,121
108013,REMACHES DE ALUMINIO,,4 x 12,,,,80,0.06,121
108014,REMACHES DE ALUMINIO,,4 x 14,,,,85,0.06,121
108015,REMACHES DE ALUMINIO,,4 x 16,,,,70,0.05,121
108016,REMACHES DE ALUMINIO,,4 x 19,,,,80,0.06,121
108017,REMACHES DE ALUMINIO,,4 x 25,,,,80,0.06,121
108018,REMACHES DE ALUMINIO,,4 x 30,,,,90,0.06,121
108019,REMACHES DE ALUMINIO,,"4,8 x 8",,,,70,0.05,121
108020,REMACHES DE ALUMINIO,,"4,8 x 10",,,,90,0.06,121
108021,REMACHES DE ALUMINIO,,"4,8 x 12",,,,70,0.05,121
108022,REMACHES DE ALUMINIO,,"4,8 x 14",,,,70,0.05,121
108023,REMACHES DE ALUMINIO,,"4,8 x 16",,,,80,0.06,121
108024,REMACHES DE ALUMINIO,,"4,8 x 20",,,,85,0.06,121
108025,REMACHES DE ALUMINIO,,"4,8 x 25",,,,75,0.05,121
108026,REMACHES DE ALUMINIO,,"4,8 x 28",,,,70,0.05,121
108027,REMACHES DE ALUMINIO,,"4,8 x 30 - Caja x 250 Unidades",,,,90,0.06,121
108028,REMACHES DE ALUMINIO,REMACHADORAS,Remachadora CL-53,,c/u,25,75,0.05,121
108029,REMACHES DE ALUMINIO,REMACHADORAS,Remachadora Tipo Fuelle,,c/u,1,80,0.06,121
108030,REMACHES DE ALUMINIO,REMACHADORAS,Remachadora Tipo Tijera,,c/u,1,85,0.06,121
108032,REMACHES DE ALUMINIO,REMACHADORAS,Remachadora CT-55,,c/u,25,80,0.06,121
108035,REMACHES DE ALUMINIO,,"2,4 x 6",,,,80,0.06,121
108036,REMACHES DE ALUMINIO,,6x8,,,,80,0.06,121
108037,REMACHES DE ALUMINIO,,6 x 10,,,,90,0.06,121
108038,REMACHES DE ALUMINIO,,6 x 12,,,,75,0.05,121
108039,REMACHES DE ALUMINIO,,6 x 14,,,,85,0.06,121
108040,REMACHES DE ALUMINIO,,6 x 16,,,,75,0.05,121
108041,REMACHES DE ALUMINIO,,6 x 20,,,,75,0.05,121
108042,REMACHES DE ALUMINIO,,6 x 25,,,,85,0.06,121
108043,REMACHES DE ALUMINIO,,6 x 28,,,,75,0.05,121
